arabic
بِسْمِ ٱللَّهِ
أَلَمْ يَعْلَمُوٓا۟
أَعَدَّ ٱللَّهُ
لَّيْسَ عَلَى
وَإِذَا مَسَّ
بَلْ كَذَّبُوا۟
أَفَمَن كَانَ
إِلَىٰ فِرْعَوْنَ
قَالَ إِنِّى
وَقَالَ ٱلْمَلِكُ
قَالَ بَلْ
قَالَ إِنَّمَآ
لَقَدْ كَانَ
عَٰلِمُ ٱلْغَيْبِ
وَكَذَٰلِكَ أَنزَلْنَٰهُ
وَمَا يَأْتِيهِم
وَإِنَّا لَنَحْنُ
قَالَ هَٰذَا
إِذْ دَخَلُوا۟
قَالُوا۟ بَلْ
قَالَ إِنَّ
فَأَخَذَتْهُمُ ٱلصَّيْحَةُ
لِيَكْفُرُوا۟ بِمَآ
ضَرَبَ ٱللَّهُ
وَضَرَبَ ٱللَّهُ
مَنْ عَمِلَ
وَلَقَدْ صَرَّفْنَا
نَّحْنُ أَعْلَمُ
قُلِ ٱدْعُوا۟
قَالَ لَقَدْ
وَٱضْرِبْ لَهُم
فَٱنطَلَقَا حَتَّىٰٓ
قَالَ أَلَمْ
وَٱتَّخَذُوا۟ مِن
أَمِ ٱتَّخَذُوا۟
فَٱسْتَجَبْنَا لَهُۥ
وَمَآ أَرْسَلْنَٰكَ
وَإِن يُكَذِّبُوكَ
أَفَلَمْ يَسِيرُوا۟
ثُمَّ إِنَّكُمْ
إِنْ هِىَ
أَمْ تَسْـَٔلُهُمْ
سَيَقُولُونَ لِلَّهِ
إِنَّهُۥ كَانَ
وَقَوْمَ نُوحٍ
وَتَوَكَّلْ عَلَى
قُلْ مَا
ثُمَّ أَغْرَقْنَا
إِلَّا مَنْ
مِن دُونِ
كَذَّبَتْ قَوْمُ
فِى جَنَّٰتٍ
وَمَآ أَنتَ
مَآ أَغْنَىٰ
فَلَمَّا جَآءَهُم
وَيَوْمَ يُنَادِيهِمْ
فَأَمَّا مَن
وَلَقَدْ فَتَنَّا
أَمْ حَسِبَ
وَوَصَّيْنَا ٱلْإِنسَٰنَ
أَوَلَمْ يَسِيرُوا۟
ثُمَّ كَانَ
وَيَوْمَ تَقُومُ
فَيَوْمَئِذٍ لَّا
فَٱصْبِرْ إِنَّ
فَٱلْيَوْمَ لَا
وَنُفِخَ فِى
أَءِذَا مِتْنَا
هَٰذَا يَوْمُ
وَتَرَكْنَا عَلَيْهِ
إِنَّهُۥ مِنْ
أَمْ لَكُمْ
فَتَوَلَّ عَنْهُمْ
بَلِ ٱلَّذِينَ
هَلْ أَتَىٰكَ
كُلُوا۟ وَٱشْرَبُوا۟
مُتَّكِـِٔينَ عَلَىٰ
فَكَيْفَ كَانَ
إِنَّآ أَرْسَلْنَا
فَسَبِّحْ بِٱسْمِ
هُوَ ٱللَّهُ
فَأَمَّا مَنْ
إِنَّ ٱلْإِنسَٰنَ
إِلَىٰ رَبِّكَ
كَلَّا بَلْ
إِنَّ ٱلْأَبْرَارَ
كَلَّآ إِنَّ
وَمِن شَرِّ
# -
ٱلْحَمْدُ لِلَّهِ
أُو۟لَٰٓئِكَ عَلَىٰ
وَإِذَا لَقُوا۟
وَإِن كُنتُمْ
وَإِذْ قُلْتُمْ
فَبَدَّلَ ٱلَّذِينَ
وَلَقَدْ عَلِمْتُمُ
فَوَيْلٌ لِّلَّذِينَ
وَقَالُوا۟ قُلُوبُنَا
وَلَمَّا جَآءَهُمْ
وَلَقَدْ أَنزَلْنَآ
بَلَىٰ مَنْ
بَدِيعُ ٱلسَّمَٰوَٰتِ
تِلْكَ أُمَّةٌ
ٱلْحَقُّ مِن
وَمِنْ حَيْثُ
وَلَا تَقُولُوا۟
وَمَثَلُ ٱلَّذِينَ
إِنَّمَا حَرَّمَ
أُحِلَّ لَكُمْ
وَقَٰتِلُوا۟ فِى
وَقَٰتِلُوهُمْ حَتَّىٰ
وَلَا تَنكِحُوا۟
وَلَا تَجْعَلُوا۟
وَإِذَا طَلَّقْتُمُ
وَٱلَّذِينَ يُتَوَفَّوْنَ
لَّا جُنَاحَ
مَّن ذَا
وَقَالَ لَهُمْ
مَّثَلُ ٱلَّذِينَ
رَبَّنَا لَا
قُلِ ٱللَّهُمَّ
قُلْ أَطِيعُوا۟
إِذْ قَالَتِ
وَمَا جَعَلَهُ
وَٱلَّذِينَ إِذَا
وَلَا تَهِنُوا۟
ثُمَّ أَنزَلَ
وَلِيَعْلَمَ ٱلَّذِينَ
وَلَا تَحْسَبَنَّ
وَلَا يَحْزُنكَ
فَإِن كَذَّبُوكَ
لَا تَحْسَبَنَّ
مَتَٰعٌ قَلِيلٌ
لَٰكِنِ ٱلَّذِينَ
وَإِنْ خِفْتُمْ
وَمَن لَّمْ
يُرِيدُ ٱللَّهُ
ٱلَّذِينَ يَبْخَلُونَ
وَٱللَّهُ أَعْلَمُ
وَمَن يُطِعِ
أَفَلَا يَتَدَبَّرُونَ
وَدُّوا۟ لَوْ
إِنَّآ أَنزَلْنَآ
وَمَن يَكْسِبْ
وَمَنْ أَحْسَنُ
مَّن كَانَ
إِنَّ ٱلْمُنَٰفِقِينَ
فَبِمَا نَقْضِهِم
لَّقَدْ كَفَرَ
يُرِيدُونَ أَن
يَٰٓأَيُّهَا ٱلرَّسُولُ
إِنَّآ أَنزَلْنَا
وَإِذَا سَمِعُوا۟
ٱعْلَمُوٓا۟ أَنَّ
قَالَ ٱللَّهُ
وَهُوَ ٱللَّهُ
وَمَا تَأْتِيهِم
فَقَدْ كَذَّبُوا۟
وَقَالُوا۟ لَوْلَآ
وَلَوْ جَعَلْنَٰهُ
وَلَهُۥ مَا
قُلْ أَغَيْرَ
وَإِن يَمْسَسْكَ
وَهُوَ ٱلْقَاهِرُ
وَيَوْمَ نَحْشُرُهُمْ
وَقَالُوٓا۟ إِنْ
قَدْ خَسِرَ
وَمَا مِن
قُلْ أَرَءَيْتَكُمْ
وَلَقَدْ أَرْسَلْنَآ
فَلَمَّا نَسُوا۟
وَمَا نُرْسِلُ
وَكَذَٰلِكَ نُفَصِّلُ
وَإِذَا رَأَيْتَ
وَمَا قَدَرُوا۟
وَهَٰذَا كِتَٰبٌ
ذَٰلِكُمُ ٱللَّهُ
يَٰمَعْشَرَ ٱلْجِنِّ
وَلِكُلٍّ دَرَجَٰتٌ
قُلْ يَٰقَوْمِ
وَعَلَى ٱلَّذِينَ
وَكَم مِّن
وَمَنْ خَفَّتْ
قَالَ إِنَّكَ
لَهُم مِّن
وَنَزَعْنَا مَا
ٱلَّذِينَ يَصُدُّونَ
إِنَّ رَبَّكُمُ
لَقَدْ أَرْسَلْنَا
أُبَلِّغُكُمْ رِسَٰلَٰتِ
أَوَعَجِبْتُمْ أَن
وَإِلَىٰ عَادٍ
وَإِلَىٰ ثَمُودَ
وَٱذْكُرُوٓا۟ إِذْ
فَأَخَذَتْهُمُ ٱلرَّجْفَةُ
فَتَوَلَّىٰ عَنْهُمْ
فَأَنجَيْنَٰهُ وَأَهْلَهُۥٓ
ٱلَّذِينَ كَذَّبُوا۟
أَوَلَمْ يَهْدِ
قَالَ إِن
فَأَلْقَىٰ عَصَاهُ
وَنَزَعَ يَدَهُۥ
يُرِيدُ أَن
قَالُوٓا۟ أَرْجِهْ
يَأْتُوكَ بِكُلِّ
قَالَ نَعَمْ
قَالُوٓا۟ ءَامَنَّا
رَبِّ مُوسَىٰ
قَالَ فِرْعَوْنُ
فَلَمَّا كَشَفْنَا
وَجَٰوَزْنَا بِبَنِىٓ
وَإِذْ تَأَذَّنَ
فَخَلَفَ مِنۢ
وَأُمْلِى لَهُمْ
أَوَلَمْ يَتَفَكَّرُوا۟
وَإِن تَدْعُوهُمْ
وَإِمَّا يَنزَغَنَّكَ
وَإِذَا قُرِئَ
إِنَّ شَرَّ
خَٰلِدِينَ فِيهَآ
قُل لَّن
يَحْلِفُونَ بِٱللَّهِ
إِنَّمَا ٱلسَّبِيلُ
وَمِنَ ٱلْأَعْرَابِ
وَٱلَّذِينَ ٱتَّخَذُوا۟
وَإِذَا مَآ
وَلَقَدْ أَهْلَكْنَا
وَإِذَآ أَذَقْنَا
ثُمَّ قِيلَ
قُلْ أَرَءَيْتُم
فَلَمَّا جَآءَهُمُ
ثُمَّ نُنَجِّى
وَلَا تَدْعُ
وَٱتَّبِعْ مَا
وَلَئِنْ أَذَقْنَٰهُ
أَن لَّا
قَالَ إِنَّمَا
وَأُتْبِعُوا۟ فِى
كَأَن لَّمْ
إِنَّ إِبْرَٰهِيمَ
وَلَمَّا جَآءَتْ
مُّسَوَّمَةً عِندَ
قَالُوا۟ يَٰشُعَيْبُ
وَمَا ظَلَمْنَٰهُمْ
وَلِلَّهِ غَيْبُ
إِنَّآ أَنزَلْنَٰهُ
لَّقَدْ كَانَ
قَالَ قَآئِلٌ
قَالُوا۟ يَٰٓأَبَانَا
وَقَالَ ٱلَّذِى
وَلَمَّا بَلَغَ
قَالَ هِىَ
يَٰصَٰحِبَىِ ٱلسِّجْنِ
ثُمَّ يَأْتِى
وَلَمَّا دَخَلُوا۟
فَلَمَّا دَخَلُوا۟
وَفِى ٱلْأَرْضِ
وَلِلَّهِ يَسْجُدُ
ٱللَّهُ يَبْسُطُ
مَّثَلُ ٱلْجَنَّةِ
وَقَالَ مُوسَىٰٓ
أَلَمْ يَأْتِكُمْ
وَمَا ذَٰلِكَ
جَهَنَّمَ يَصْلَوْنَهَا
وَسَخَّرَ لَكُمُ
وَمَآ أَهْلَكْنَا
لَا يُؤْمِنُونَ
إِلَّا مَنِ
وَٱلْأَرْضَ مَدَدْنَٰهَا
وَإِن مِّن
فَإِذَا سَوَّيْتُهُۥ
فَسَجَدَ ٱلْمَلَٰٓئِكَةُ
إِلَّآ إِبْلِيسَ
قَالَ يَٰٓإِبْلِيسُ
قَالَ فَٱخْرُجْ
وَإِنَّ عَلَيْكَ
قَالَ فَإِنَّكَ
إِلَىٰ يَوْمِ
إِلَّا عِبَادَكَ
إِنَّ عِبَادِى
ٱدْخُلُوهَا بِسَلَٰمٍ
قَالُوا۟ لَا
قَالُوٓا۟ أَوَلَمْ
وَلَقَدْ كَذَّبَ
وَلَقَدْ نَعْلَمُ
فَسَبِّحْ بِحَمْدِ
وَلَكُمْ فِيهَا
ٱلَّذِينَ تَتَوَفَّىٰهُمُ
فَأَصَابَهُمْ سَيِّـَٔاتُ
وَٱلَّذِينَ هَاجَرُوا۟
ٱلَّذِينَ صَبَرُوا۟
أَوْ يَأْخُذَهُمْ
ثُمَّ إِذَا
وَيَجْعَلُونَ لِلَّهِ
وَإِذَا بُشِّرَ
وَلَوْ يُؤَاخِذُ
وَمَآ أَنزَلْنَا
وَإِنَّ لَكُمْ
وَٱللَّهُ خَلَقَكُمْ
وَيَوْمَ نَبْعَثُ
وَإِذَا رَءَا
ٱلَّذِينَ كَفَرُوا۟
مَن كَفَرَ
ذَٰلِكَ بِأَنَّهُمُ
وَجَعَلْنَا ٱلَّيْلَ
رَّبُّكُمْ أَعْلَمُ
وَقَالُوٓا۟ أَءِذَا
وَإِن كَادُوا۟
وَإِذَآ أَنْعَمْنَا
قُلْ كُلٌّ
إِلَّا رَحْمَةً
وَمَا مَنَعَ
قُلْ كَفَىٰ
وَمَن يَهْدِ
وَقُلِ ٱلْحَمْدُ
إِنَّا جَعَلْنَا
قَالَ لَهُۥ
وَلَوْلَآ إِذْ
قَالَ ذَٰلِكَ
ثُمَّ أَتْبَعَ
قَالَ كَذَٰلِكَ
فَخَرَجَ عَلَىٰ
فَٱخْتَلَفَ ٱلْأَحْزَابُ
وَأَنذِرْهُمْ يَوْمَ
جَنَّٰتِ عَدْنٍ
لَّا يَسْمَعُونَ
رَّبُّ ٱلسَّمَٰوَٰتِ
أَفَرَءَيْتَ ٱلَّذِى
تَكَادُ ٱلسَّمَٰوَٰتُ
وَمَا يَنۢبَغِى
إِن كُلُّ
فَإِنَّمَا يَسَّرْنَٰهُ
لَهُۥ مَا
وَهَلْ أَتَىٰكَ
فَلَمَّآ أَتَىٰهَا
إِنَّ ٱلسَّاعَةَ
ٱذْهَبْ إِلَىٰ
وَٱجْعَل لِّى
وَلَقَدْ مَنَنَّا
قَالَ لَهُم
فَأُلْقِىَ ٱلسَّحَرَةُ
قَالَ ءَامَنتُمْ
قَالُوا۟ لَن
قَالُوا۟ مَآ
يَوْمَ يُنفَخُ
فَتَعَٰلَى ٱللَّهُ
إِنَّ لَكَ
فَٱصْبِرْ عَلَىٰ
بَلْ قَالُوٓا۟
قَالُوا۟ يَٰوَيْلَنَآ
وَلَهُۥ مَن
أَوَلَمْ يَرَ
وَجَعَلْنَٰهُمْ أَئِمَّةً
وَلِسُلَيْمَٰنَ ٱلرِّيحَ
فَمَن يَعْمَلْ
لَهُمْ فِيهَا
لَا يَسْمَعُونَ
ذَٰلِكَ وَمَن
لَكُمْ فِيهَا
ٱلَّذِينَ إِذَا
وَيَسْتَعْجِلُونَكَ بِٱلْعَذَابِ
ٱلْمُلْكُ يَوْمَئِذٍ
إِلَّا عَلَىٰٓ
فَمَنِ ٱبْتَغَىٰ
وَأَنزَلْنَا مِنَ
ثُمَّ أَنشَأْنَا
ثُمَّ أَرْسَلْنَا
حَتَّىٰٓ إِذَآ
قَدْ كَانَتْ
أَمْ لَمْ
لَقَدْ وُعِدْنَا
فَإِذَا نُفِخَ
قَالُوا۟ رَبَّنَا
وَٱلَّذِينَ يَرْمُونَ
ٱلَّذِى لَهُۥ
وَعَادًا وَثَمُودَا۟
فَلَا تُطِعِ
قُلْ مَآ
وَٱلَّذِينَ يَقُولُونَ
وَٱلَّذِينَ إِذَآ
وَٱلَّذِينَ لَا
قَالَ رَبُّ
كَذَٰلِكَ وَأَوْرَثْنَٰهَا
رَبِّ هَبْ
وَأُزْلِفَتِ ٱلْجَنَّةُ
وَبُرِّزَتِ ٱلْجَحِيمُ
قَالُوا۟ لَئِن
كَذَّبَتْ عَادٌ
إِنْ هَٰذَآ
قَالُوٓا۟ إِنَّمَآ
مَآ أَنتَ
إِلَّا عَجُوزًا
ثُمَّ دَمَّرْنَا
أَفَبِعَذَابِنَا يَسْتَعْجِلُونَ
إِنَّهُۥ هُوَ
فَلَمَّا جَآءَتْهُمْ
قَالَتْ يَٰٓأَيُّهَا
وَمَكَرُوا۟ مَكْرًا
فَٱنظُرْ كَيْفَ
أَئِنَّكُمْ لَتَأْتُونَ
إِنَّكَ لَا
فَأَخَذْنَٰهُ وَجُنُودَهُۥ
وَمَآ أَنتُم
مَثَلُ ٱلَّذِينَ
بَلْ هُوَ
وَلَمْ يَكُن
فَأَقِمْ وَجْهَكَ
وَإِن كَانُوا۟
وَلَقَدْ ضَرَبْنَا
أَلَمْ تَرَوْا۟
يَٰنِسَآءَ ٱلنَّبِىِّ
سُنَّةَ ٱللَّهِ
يُولِجُ ٱلَّيْلَ
وَقَالُوا۟ ٱلْحَمْدُ
قَالُوٓا۟ إِنَّا
إِن كَانَتْ
وَءَايَةٌ لَّهُمُ
وَجَعَلْنَا فِيهَا
هَٰذِهِۦ جَهَنَّمُ
وَإِذَا رَأَوْا۟
أَوَءَابَآؤُنَا ٱلْأَوَّلُونَ
فَإِنَّمَا هِىَ
وَأَقْبَلَ بَعْضُهُمْ
فِى جَنَّٰتِ
عَلَىٰ سُرُرٍ
يُطَافُ عَلَيْهِم
وَعِندَهُمْ قَٰصِرَٰتُ
فَأَقْبَلَ بَعْضُهُمْ
سَلَٰمٌ عَلَىٰ
فَرَاغَ إِلَىٰٓ
سَلَٰمٌ عَلَىٰٓ
أَمْ عِندَهُمْ
هَٰذَا مَا
لَهُم مَّا
أَلَيْسَ ٱللَّهُ
وَبَدَا لَهُمْ
أَوْ تَقُولَ
وَسِيقَ ٱلَّذِينَ
وَقَالَ ٱلَّذِىٓ
فَإِنْ أَعْرَضُوا۟
وَمِنْ ءَايَٰتِهِ
وَكَذَٰلِكَ أَوْحَيْنَآ
وَٱلْكِتَٰبِ ٱلْمُبِينِ
وَقَالُوا۟ لَوْ
إِنَّ ٱلْمُجْرِمِينَ
فَذَرْهُمْ يَخُوضُوا۟
فَدَعَا رَبَّهُۥٓ
إِنَّ يَوْمَ
أُو۟لَٰٓئِكَ أَصْحَٰبُ
وَيَوْمَ يُعْرَضُ
فَلَمَّا رَأَوْهُ
هُمُ ٱلَّذِينَ
مَّنَّاعٍ لِّلْخَيْرِ
إِنَّمَا تُوعَدُونَ
وَٱلسَّمَآءِ ذَاتِ
إِنَّ عَذَابَ
وَيَطُوفُ عَلَيْهِمْ
أَمْ عِندَهُمُ
وَإِن يَرَوْا۟
وَلَقَدْ رَءَاهُ
مِن نُّطْفَةٍ
فِيهِمَا عَيْنَانِ
ثُلَّةٌ مِّنَ
إِنَّهُمْ كَانُوا۟
أَفَرَءَيْتُم مَّا
عَلَىٰٓ أَن
لَوْ نَشَآءُ
بَلْ نَحْنُ
تَنزِيلٌ مِّن
وَأَمَّآ إِن
مَآ أَصَابَ
يَوْمَ يَبْعَثُهُمُ
ٱتَّخَذُوٓا۟ أَيْمَٰنَهُمْ
أَمَّنْ هَٰذَا
إِذَا تُتْلَىٰ
إِنَّ لِلْمُتَّقِينَ
خَٰشِعَةً أَبْصَٰرُهُمْ
فَٱصْبِرْ لِحُكْمِ
فَهُوَ فِى
فِى جَنَّةٍ
وَلَا يَحُضُّ
إِنَّهُۥ لَقَوْلُ
وَتَكُونُ ٱلْجِبَالُ
كَلَّآ إِنَّهَا
وَأَنَّهُۥ كَانَ
وَأَنَّا ظَنَنَّآ
وَأَنَّا مِنَّا
وَٱذْكُرِ ٱسْمَ
يَوْمَ تَرْجُفُ
إِنَّ هَٰذِهِۦ
كَلَّآ إِنَّهُۥ
ثُمَّ أَدْبَرَ
لِمَن شَآءَ
فَمَا لَهُمْ
بَلْ يُرِيدُ
كَلَّا بَل
فَمَن شَآءَ
أَيَحْسَبُ ٱلْإِنسَٰنُ
كَلَّا لَا
إِنَّ عَلَيْنَا
كَلَّآ إِذَا
عَيْنًا يَشْرَبُ
وَمَا تَشَآءُونَ
وَإِذَا ٱلسَّمَآءُ
وَإِذَا ٱلْجِبَالُ
أَلَمْ نَجْعَلِ
ٱنطَلِقُوٓا۟ إِلَىٰ
ثُمَّ كَلَّا
يَوْمَ يَقُومُ
فَإِذَا جَآءَتِ
فَلْيَنظُرِ ٱلْإِنسَٰنُ
وَإِذَا ٱلْبِحَارُ
عَلِمَتْ نَفْسٌ
يَٰٓأَيُّهَا ٱلْإِنسَٰنُ
كِتَٰبٌ مَّرْقُومٌ
عَلَى ٱلْأَرَآئِكِ
وَأَذِنَتْ لِرَبِّهَا
وَٱلْقَمَرِ إِذَا
قَدْ أَفْلَحَ
لَقَدْ خَلَقْنَا
أَيَحْسَبُ أَن
وَٱلنَّهَارِ إِذَا
بِّسْمِ ٱللَّهِ
أَرَءَيْتَ إِن
وَلَآ أَنتُمْ
مِن شَرِّ
#====================================================================
# of
ٱلرَّحْمَٰنِ ٱلرَّحِيمِ
مَٰلِكِ يَوْمِ
إِيَّاكَ نَعْبُدُ
ٱهْدِنَا ٱلصِّرَٰطَ
صِرَٰطَ ٱلَّذِينَ
ذَٰلِكَ ٱلْكِتَٰبُ
ٱلَّذِينَ يُؤْمِنُونَ
وَٱلَّذِينَ يُؤْمِنُونَ
خَتَمَ ٱللَّهُ
يُخَٰدِعُونَ ٱللَّهَ
فِى قُلُوبِهِم
ٱللَّهُ يَسْتَهْزِئُ
مَثَلُهُمْ كَمَثَلِ
صُمٌّۢ بُكْمٌ
أَوْ كَصَيِّبٍ
يَكَادُ ٱلْبَرْقُ
وَبَشِّرِ ٱلَّذِينَ
ٱلَّذِينَ يَنقُضُونَ
كَيْفَ تَكْفُرُونَ
وَعَلَّمَ ءَادَمَ
قَالَ يَٰٓـَٔادَمُ
وَقُلْنَا يَٰٓـَٔادَمُ
فَأَزَلَّهُمَا ٱلشَّيْطَٰنُ
فَتَلَقَّىٰٓ ءَادَمُ
قُلْنَا ٱهْبِطُوا۟
وَءَامِنُوا۟ بِمَآ
وَلَا تَلْبِسُوا۟
أَتَأْمُرُونَ ٱلنَّاسَ
وَٱسْتَعِينُوا۟ بِٱلصَّبْرِ
ٱلَّذِينَ يَظُنُّونَ
